INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
IRVING PARK AND NARRAGANSETT,1023.0,6400 W IRVING PK,05/13/2018,1,1132945.939118726,1925946.304925137,41.953024751,-87.786683238,"(41.95302475075328, -87.78668323766634)"
CENTRAL AND CHICAGO,1973.0,5600 W CHICAGO AVENUE,05/13/2018,7,1138858.856732452,1904825.827586656,41.894962293,-87.76546079100001,"(41.89496229349977, -87.76546079122906)"
KEDZIE AND 71ST,2352.0,7100 S KEDZIE AVENUE,05/13/2018,3,1156225.540366296,1857330.103443232,41.764295037,-87.702957162,"(41.764295036756856, -87.70295716211793)"
HAMLIN AND LAKE,1881.0,300 N HAMLIN AVENUE,05/13/2018,1,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
55TH and PULASKI,2242.0,5500 S PULASKI,05/13/2018,4,1150600.072649439,1867806.44512718,41.793155061,-87.723303765,"(41.793155060731024, -87.72330376464247)"
STATE AND 79TH,2651.0,7900 S STATE STREET,05/13/2018,7,1177618.1669299658,1852621.8702328382,41.750918138,-87.624690123,"(41.7509181383154, -87.62469012251644)"
DAMEN AND DIVERSEY,1464.0,2000 W DIVERSEY PARKWAY,05/13/2018,2,1162519.714934025,1918635.417634925,41.932394164,-87.678173031,"(41.93239416403691, -87.67817303087757)"
HAMLIN AND MADISON,1903.0,3800 W MADISON STREET,05/13/2018,9,1151032.709141294,1899784.033986533,41.880897273,-87.720881226,"(41.880897273491264, -87.72088122613924)"
55TH AND KEDZIE,2162.0,5500 S KEDZIE AVENUE,05/13/2018,2,1155945.854705238,1867941.621374192,41.793420237,-87.70369750799999,"(41.793420236755864, -87.70369750845424)"
CICERO AND DIVERSEY,1691.0,2800 N CICERO AVENUE,05/13/2018,2,1143863.647574835,1918202.0184634142,41.931575608,-87.74674330100001,"(41.93157560844622, -87.74674330113561)"
CLARK AND IRVING PARK,1093.0,1300 W IRVING PARK ROAD,05/13/2018,7,1166777.545456989,1926719.73687357,41.954487567,-87.662293496,"(41.95448756687966, -87.66229349585691)"
ASHLAND AND 87TH,2454.0,1600 W 87TH ST,05/13/2018,6,1167171.941297436,1847064.855345151,41.735898617,-87.663128781,"(41.735898617066006, -87.66312878090133)"
CANAL AND ROOSEVELT,2294.0,500 W ROOSEVELT ROAD,05/13/2018,17,1173290.72186561,1895021.166235495,41.867362693000004,-87.639293195,"(41.867362692616666, -87.63929319464197)"
CENTRAL AND LAKE,1742.0,400 N CENTRAL AVENUE,05/13/2018,9,1138928.4782575371,1902217.926149854,41.887804621,-87.765268498,"(41.88780462053497, -87.76526849810371)"
LASALLE AND KINZIE,1923.0,140 W KINZIE,05/13/2018,4,1175048.09765242,1903028.8947602941,41.889297219,-87.63260164799999,"(41.88929721947309, -87.63260164817305)"
BROADWAY/SHERIDAN AND DEVON,1123.0,1200 W DEVON AVE,05/13/2018,1,1167109.644248166,1942688.147952186,41.998298228,-87.660611661,"(41.99829822771884, -87.66061166063517)"
MICHIGAN AND ONTARIO,3084.0,100 E ONTARIO ST,05/13/2018,2,1177006.928692496,1904549.656773295,41.893426147,-87.625362025,"(41.89342614670784, -87.62536202456768)"
CHICAGO AND CLARK,1963.0,100 W CHICAGO AVENUE,05/13/2018,7,1175374.528739575,1905745.47783364,41.896744346999995,-87.63132124799999,"(41.896744346875806, -87.63132124815151)"
TOUHY AND OSCEOLA,1243.0,7432 W TOUHY AVENUE,05/13/2018,4,1125717.010560011,1947269.685461107,42.011661765,-87.812781431,"(42.01166176507329, -87.81278143114147)"
CICERO AND HARRISON,2022.0,600 S CICERO AVENUE,05/13/2018,9,1144444.97442848,1896894.622216872,41.873094833,-87.745143869,"(41.873094832519136, -87.74514386884542)"
MONTROSE AND WESTERN,1221.0,4400 N WESTERN AVENUE,05/13/2018,8,1159539.733234718,1929183.9180955018,41.961401846,-87.688832623,"(41.961401846278505, -87.6888326227788)"
99TH AND HALSTED,2433.0,800 W 99TH ST,05/13/2018,18,1172710.6425656842,1839246.3306021432,41.714323336999996,-87.643066714,"(41.71432333701137, -87.64306671421937)"
DIVISION AND DAMEN,1733.0,2000 W DIVISION,05/13/2018,3,1162815.7108601942,1908034.672555531,41.903298793000005,-87.67738324700001,"(41.903298792681944, -87.67738324739636)"
ASHLAND AND LAWRENCE,1142.0,4800 N ASHLAND AVENUE,05/13/2018,2,1164751.686785145,1932001.206626392,41.96902343,-87.669590434,"(41.969023429614026, -87.66959043354217)"
FOSTER AND NAGLE,1034.0,6400 W FOSTER,05/13/2018,4,1132552.893142153,1934229.875527466,41.975762574,-87.787934296,"(41.97576257447203, -87.7879342955108)"
DIVISION AND DAMEN,1734.0,2000 W DIVISION,05/13/2018,9,1162815.7108601942,1908034.672555531,41.903298793000005,-87.67738324700001,"(41.903298792681944, -87.67738324739636)"
ROOSEVELT AND KOSTNER,2321.0,1200 S KOSTNER,05/13/2018,2,1147196.304001978,1894305.8832697459,41.865938839,-87.735108549,"(41.8659388389088, -87.73510854901264)"
ASHLAND AND DIVISION,1791.0,1200 N ASHLAND AVENUE,05/13/2018,7,1165466.997046718,1908083.767015974,41.903377468,-87.667643142,"(41.903377467566784, -87.66764314227497)"
CICERO AND WASHINGTON,1892.0,100 N CICERO AVENUE,05/13/2018,4,1144328.984091479,1900095.1708384592,41.88187971,-87.74548924700001,"(41.88187970991601, -87.7454892473012)"
ROOSEVELT AND KOSTNER,2323.0,4400 W ROOSEVELT,05/13/2018,7,1147200.963258796,1894379.538078088,41.866140868,-87.73508956,"(41.866140867641654, -87.73508956008207)"
KEDZIE AND 26TH,2382.0,2600 S KEDZIE AVENUE,05/13/2018,1,1155404.235510285,1886524.460033054,41.844424831,-87.70518545200001,"(41.84442483084393, -87.70518545233183)"
PULASKI AND NORTH,1992.0,1600 N PULASKI AVENUE,05/13/2018,4,1149432.959240306,1910369.112502195,41.90997501,-87.72648052299999,"(41.909975010236906, -87.72648052306623)"
PULASKI AND NORTH,1994.0,4000 W NORTH AVENUE,05/13/2018,2,1149456.2688421998,1910376.774019002,41.909995582,-87.72639469299999,"(41.90999558160536, -87.72639469321471)"
KEDZIE AND 71ST,2354.0,3200 W 71ST STREET,05/13/2018,1,1156246.862901455,1857404.014959868,41.764497433,-87.702877023,"(41.76449743256955, -87.70287702335861)"
SACRAMENTO AND LAKE,1822.0,150 N SACRAMENTO BOUL,05/13/2018,1,1156319.560664766,1900957.4893519618,41.884012178,-87.701436479,"(41.88401217771363, -87.7014364786693)"
PULASKI AND DIVISION,1801.0,1200 N PULASKI ROAD,05/13/2018,1,1149459.590666926,1907723.219884254,41.902713901999995,-87.72645145700001,"(41.902713901936174, -87.72645145715836)"
OGDEN AND KOSTNER,2222.0,2348 S KOSTNER AVENUE,05/13/2018,6,1147394.548182079,1887795.1777820818,41.848068845,-87.734547457,"(41.8480688449598, -87.73454745748458)"
SACRAMENTO AND CHICAGO,1812.0,800 N SACRAMENTO AVEN,05/13/2018,11,1156039.008141929,1905193.084100581,41.895640714,-87.70235232799999,"(41.89564071387542, -87.70235232767416)"
CICERO AND ADDISON,1612.0,3600 N CICERO AVENUE,05/13/2018,5,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)"
DAMEN AND 63RD,2702.0,6300 S DAMEN AVENUE,05/13/2018,6,1164069.4079432979,1862830.277442834,41.779226920999996,-87.674052731,"(41.77922692069256, -87.67405273137854)"
RIDGE AND CLARK,1051.0,5930 N CLARK STREET,05/13/2018,4,1164554.784723473,1939388.5115164418,41.98929863,-87.67010412100001,"(41.98929863013193, -87.67010412112992)"
HAMLIN AND LAKE,1882.0,300 N HAMLIN AVENUE,05/13/2018,1,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
71ST AND ASHLAND,2391.0,7100 S ASHLAND,05/13/2018,5,1166868.379865725,1857616.168087255,41.764859382,-87.663940176,"(41.764859382425385, -87.66394017630476)"
PULASKI AND ARCHER,2154.0,5000 S ARCHER AVE,05/13/2018,2,1150501.818909837,1871162.311703322,41.802365973,-87.72357676600001,"(41.80236597333895, -87.72357676611004)"
MICHIGAN AND ONTARIO,3082.0,628 N MICHIGAN AVE,05/13/2018,26,1177278.716938521,1904554.133997858,41.893432274,-87.624363719,"(41.893432274200684, -87.62436371928398)"
LAWRENCE AND WESTERN,1192.0,4800 N WESTERN AVENUE,05/13/2018,1,1159459.622430471,1931821.342623414,41.968640727,-87.68905424100001,"(41.96864072747715, -87.6890542408374)"
PULASKI AND ARMITAGE,1844.0,4000 W ARMITAGE AVENUE,05/13/2018,2,1149375.428872108,1913028.9842731808,41.917275069,-87.726622746,"(41.91727506940875, -87.72662274644799)"
TOUHY AND OSCEOLA,1244.0,7432 W TOUHY AVENUE,05/13/2018,2,1125717.010560011,1947269.685461107,42.011661765,-87.812781431,"(42.01166176507329, -87.81278143114147)"
VAN BUREN AND WESTERN,2054.0,2400 W VAN BUREN STREE,05/13/2018,9,,,,,
HALSTED AND MADISON,1872.0,1 N HALSTED STREET,05/13/2018,4,1171090.967986833,1900270.454015136,41.881815632,-87.64721471700001,"(41.88181563164203, -87.64721471704077)"
ARCHER AND CICERO,2084.0,5400 S ARCHER AVE,05/13/2018,3,1145209.426392053,1869810.657411975,41.798758208,-87.743020541,"(41.798758207843264, -87.74302054146467)"
WESTERN AND FOSTER,1072.0,5200 N WESTERN AVE,05/13/2018,6,1159372.922497116,1934478.3136740031,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)"
CENTRAL AND BELMONT,1604.0,5600 W BELMONT AVENUE,05/13/2018,2,1138453.617438343,1920755.972768412,41.938683775,-87.766562494,"(41.93868377475747, -87.76656249384537)"
CICERO AND NORTH,2033.0,4800 W NORTH AVENUE,05/13/2018,8,1144053.7337471629,1910243.80567041,41.90973389,-87.74624497299999,"(41.909733890131285, -87.74624497295898)"
ROOSEVELT AND HALSTED,2234.0,800 W ROOSEVELT ROAD,05/13/2018,12,1171199.282357741,1894968.0563937242,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)"
CENTRAL AND ADDISON,1683.0,5600 W ADDISON STREET,05/13/2018,3,1138349.6633025021,1923416.02157061,41.945985104,-87.76687995200001,"(41.94598510430888, -87.76687995165918)"
ASHLAND AND 95TH,2472.0,9500 S ASHLAND AVENUE,05/13/2018,9,1167295.830128711,1841695.121217916,41.721160612,-87.662828139,"(41.72116061205213, -87.66282813939165)"
PULASKI AND DIVERSEY,1542.0,2800 N PULASKI ROAD,05/13/2018,2,1149200.724531183,1918332.222549679,41.931831026,-87.72712687299999,"(41.93183102561505, -87.72712687300454)"
HARLEM AND BELMONT,1394.0,7200 W BELMONT AVE,05/13/2018,1,1127504.698153561,1920475.4154408441,41.938105479,-87.806809552,"(41.93810547939496, -87.80680955240743)"
PULASKI AND IRVING PARK,1572.0,4000 N PULASKI ROAD,05/13/2018,3,1148970.255325552,1926313.600468643,41.953737051,-87.72776661200001,"(41.95373705144353, -87.72776661179896)"
MILWAUKEE AND MONTROSE,1364.0,5075 W MONTROSE AVENUE,05/13/2018,8,1141716.746618898,1928736.076639057,41.960522088000005,-87.754371424,"(41.96052208819935, -87.75437142402293)"
KEDZIE AND 63RD,2361.0,6300 S KEDZIE AVE,05/13/2018,2,1156097.505177228,1862668.0517750932,41.77894575,-87.70328311899999,"(41.77894575017997, -87.70328311900342)"
PULASKI AND CHICAGO,1982.0,800 N PULASKI ROAD,05/13/2018,5,1149538.444844035,1905079.034990625,41.895456456999995,-87.726230541,"(41.895456456825386, -87.72623054051289)"
KEDZIE AND 31ST,2134.0,3200 W 31ST STREET,05/13/2018,4,1155487.128005646,1883943.0611067931,41.8373395,-87.704950558,"(41.83733950029648, -87.70495055800411)"
PULASKI AND ARMITAGE,1843.0,4000 W ARMITAGE AVENUE,05/13/2018,6,1149375.428872108,1913028.9842731808,41.917275069,-87.726622746,"(41.91727506940875, -87.72662274644799)"
PETERSON AND WESTERN,1014.0,2400 W PETERSON,05/13/2018,12,1159214.211316277,1939825.301874586,41.99060901,-87.689735481,"(41.990609009807294, -87.68973548092968)"
PULASKI AND FULLERTON,1484.0,4000 W FULLERTON AVE,05/13/2018,11,1149303.081963737,1915695.2752226482,41.924593021999996,-87.72681926799999,"(41.92459302175305, -87.7268192684032)"
WENTWORTH AND GARFIELD,2261.0,5500 S WENTWORTH AVEN,05/13/2018,30,,,,,
WENTWORTH AND GARFIELD,2264.0,200 W GARFIELD BLVD,05/13/2018,14,1175889.574397302,1868551.750512227,41.794670385,-87.630547476,"(41.79467038468937, -87.63054747605638)"
IRVING PARK AND CALIFORNIA,1233.0,2800 W IRVING PARK ROA,05/13/2018,4,,,,,
HARLEM AND BELMONT,1391.0,3200 N HARLEM AVE,05/13/2018,4,1127481.020995451,1920467.613239239,41.938084468,-87.80689674899999,"(41.93808446822169, -87.80689674887883)"
ELSTON AND ADDISON,1402.0,3600 N ELSTON AVE,05/13/2018,1,1154106.95251778,1923731.0362110808,41.946549165,-87.708952626,"(41.94654916480637, -87.70895262603513)"
BROADWAY/SHERIDAN AND DEVON,1122.0,6400 N SHERIDAN ROAD,05/13/2018,5,1167087.1511941291,1942658.7049886892,41.998217921,-87.660695256,"(41.99821792053241, -87.6606952555721)"
KIMBALL AND DIVERSEY,1581.0,2800 N KIMBALL AVENUE,05/13/2018,2,,,,,
LAWRENCE AND CICERO,1041.0,4800 N CICERO AVE,05/13/2018,14,1143464.651785526,1931490.5518832032,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)"
HOLLYWOOD AND SHERIDAN,1343.0,1000 W HOLLYWOOD AVE,05/13/2018,2,1168580.2289264658,1938090.295189338,41.985649799,-87.65533580700001,"(41.98564979859328, -87.65533580655139)"
BELMONT AND KEDZIE,1373.0,3200 W BELMONT,05/13/2018,2,1154461.587940363,1921143.091003516,41.939440561,-87.707718516,"(41.93944056117365, -87.70771851630873)"
WESTERN AND FULLERTON,1671.0,2400 N WESTERN AVENUE,05/13/2018,8,1159923.309342995,1915897.778561358,41.924935944,-87.687790255,"(41.92493594409127, -87.68779025471278)"
ASHLAND AND FULLERTON,1651.0,2400 N ASHLAND AVENUE,05/13/2018,12,1165228.0733428379,1916032.319169157,41.92519389,-87.66829436299999,"(41.92519388981048, -87.66829436339881)"
MILWAUKEE AND DEVON,1272.0,6400 N MILWAUKEE AVEN,05/13/2018,1,1132463.750397878,1942107.9115076268,41.997382173000005,-87.788077674,"(41.99738217345368, -87.78807767391953)"
PULASKI AND 63RD,2343.0,4000 W 63RD ST,05/13/2018,4,1150768.346768175,1862564.615405259,41.77876739,-87.722823195,"(41.778767390084305, -87.72282319530368)"
63RD AND STATE,2714.0,1 E 63RD ST,05/13/2018,8,1177367.518733101,1863199.17768559,41.779949105,-87.62528955299999,"(41.779949104569106, -87.62528955333775)"
AUSTIN AND IRVING PARK,1163.0,6000 W IRVING PARK ROAD,05/13/2018,3,1135622.402636023,1926014.192063646,41.953163771999996,-87.776842593,"(41.95316377185154, -87.77684259284736)"
PULASKI AND 79TH,2494.0,4000 W 79TH STREET,05/13/2018,6,1151074.116357501,1851966.830243835,41.749679359,-87.721978345,"(41.74967935883473, -87.72197834524168)"
111TH AND HALSTED,2422.0,11100 S HALSTED ST,05/13/2018,7,1172923.657689312,1831209.0441792482,41.692263123000004,-87.64252268799999,"(41.692263123425136, -87.6425226876268)"
HALSTED AND FULLERTON,1704.0,800 W FULLERTON AVENUE,05/13/2018,2,1170525.624723311,1916208.4439927782,41.925562791,-87.648823641,"(41.92556279107417, -87.64882364145232)"
DIVERSEY AND WESTERN,1434.0,2400 W DIVERSEY AVENUE,05/13/2018,4,1159859.6484238359,1918576.255784305,41.932287183,-87.687950093,"(41.93228718299094, -87.6879500934122)"
CICERO AND 47TH,2204.0,4800 W 47TH ST,05/13/2018,11,1145130.0489257441,1873078.44198302,41.807727017,-87.74322936600001,"(41.80772701677172, -87.74322936566276)"
ROOSEVELT AND PULASKI,2314.0,4000 W ROOSEVELT ROAD,05/13/2018,10,1149885.032049683,1894449.4640768818,41.866281003000005,-87.72523422,"(41.866281002664536, -87.72523421983905)"
ASHLAND AND DIVISION,1793.0,1600 W DIVISION STREET,05/13/2018,1,1165489.684200442,1908112.312963909,41.903455316,-87.66755899399999,"(41.903455316483814, -87.66755899396976)"
HALSTED AND DIVISION,1714.0,800 W DIVISION,05/13/2018,3,1170767.827960358,1908259.6441516618,41.903745557,-87.648167011,"(41.90374555734733, -87.64816701062779)"
CICERO AND NORTH,2034.0,4800 W NORTH AVENUE,05/13/2018,4,1144053.7337471629,1910243.80567041,41.90973389,-87.74624497299999,"(41.909733890131285, -87.74624497295898)"
HALSTED AND NORTH,1764.0,800 W NORTH AVENUE,05/13/2018,6,1170700.68422007,1910913.190749698,41.91102851,-87.648335806,"(41.91102850981186, -87.64833580602037)"
SACRAMENTO AND CHICAGO,1814.0,3000 W CHICAGO AVENUE,05/13/2018,5,1156075.266375505,1905216.6047707181,41.895704525,-87.702218524,"(41.895704524946225, -87.70221852353758)"
CENTRAL AND CHICAGO,1972.0,800 N CENTRAL AVENUE,05/13/2018,8,1138836.562608552,1904801.732832435,41.894896579,-87.765543258,"(41.89489657939746, -87.76554325845893)"
ASHLAND AND 87TH,2452.0,8700 S ASHLAND AVE,05/13/2018,1,1167150.470087748,1846991.212339794,41.735696989000004,-87.663209544,"(41.73569698863625, -87.66320954445679)"
87TH AND VINCENNES,2412.0,8700 S VINCENNES,05/13/2018,16,1172026.328989535,1847142.4966437758,41.736006565,-87.645341819,"(41.73600656458518, -87.64534181897955)"
MILWAUKEE AND DEVON,1274.0,6400 W DEVON AVENUE,05/13/2018,4,1132590.619798275,1942138.532048656,41.997463980999996,-87.78761024299999,"(41.99746398102873, -87.78761024341388)"
KOSTNER AND NORTH,2011.0,1600 N KOSTNER,05/13/2018,2,1146732.108679105,1910282.120990798,41.909788304,-87.736404667,"(41.90978830394343, -87.73640466739216)"
WESTERN AND MARQUETTE,2672.0,6700 S WESTERN AVENUE,05/13/2018,8,1161488.747635042,1860134.788366884,41.771884028,-87.68358840200001,"(41.77188402771193, -87.68358840206334)"
PULASKI AND IRVING PARK,1574.0,4000 W IRVING PARK RD,05/13/2018,8,1148988.727877253,1926320.9549384092,41.953756874,-87.72769851299999,"(41.95375687447515, -87.72769851312907)"
AUSTIN AND ADDISON,1493.0,6000 W ADDISON STREET,05/13/2018,4,1135698.173154422,1923360.229527805,41.945879676,-87.776627421,"(41.94587967559099, -87.77662742093737)"
OGDEN AND KOSTNER,2223.0,4400 W OGDEN AVENUE,05/13/2018,7,1147406.592439224,1887689.099869462,41.847777523000005,-87.734505969,"(41.84777752280453, -87.73450596874825)"
