ADDRESS,CAMERA ID,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
3115 N NARRAGANSETT AVE,CHI104,02/26/2018,2,1133239.690118249,1920090.5748641002,41.936950841999995,-87.785740891,"(41.93695084197675, -87.78574089058974)"
341 W 76th ST,CHI137,02/26/2018,2,1175175.124032429,1854511.45995174,41.756158269000004,-87.633586263,"(41.756158269344546, -87.6335862634599)"
2109 E 87TH ST,CHI145,02/26/2018,33,1191794.819430013,1847666.1661950282,41.736987090999996,-87.572901178,"(41.7369870911534, -87.57290117806258)"
3200 S ARCHER AVE,CHI144,02/26/2018,63,1165344.912712872,1883513.8170218568,41.835958018,-87.668790267,"(41.83595801848586, -87.66879026653764)"
5529 S WESTERN,CHI068,02/26/2018,9,,,,,
4674 W PETERSON AVE,CHI116,02/26/2018,21,1144100.8404128458,1939510.241737531,41.990042674,-87.745334319,"(41.99004267366519, -87.7453343185986)"
11144 S VINCENNES,CHI023,02/26/2018,25,1166993.61310625,1830711.216507448,41.691025456,-87.66424769,"(41.69102545584918, -87.6642476900556)"
6330 S MARTIN LUTHER KING,CHI148,02/26/2018,16,1179971.443247905,1862983.346065067,41.779297609000004,-87.615749875,"(41.77929760923632, -87.61574987538572)"
4707 W PETERSON AVE,CHI115,02/26/2018,38,1143859.071304929,1939422.942112187,41.989807669,-87.74622580399999,"(41.98980766908236, -87.74622580384673)"
8345 S ASHLAND AVE,CHI168,02/26/2018,9,1167170.493634396,1849194.116924465,41.741741651,-87.663073329,"(41.741741651401504, -87.66307332925098)"
5428 S PULASKI,CHI060,02/26/2018,2,1150589.458033809,1868170.607441069,41.794154584,-87.72333321299999,"(41.7941545839503, -87.72333321258739)"
5120 N PULASKI,CHI004,02/26/2018,24,1148759.385878875,1933817.5998373618,41.974332655,-87.72834702200001,"(41.97433265461055, -87.72834702238127)"
2912 W ROOSEVELT,CHI020,02/26/2018,13,1157040.212662274,1894612.12813304,41.866585283,-87.698962375,"(41.86658528313424, -87.69896237494204)"
346 W 76th ST,CHI136,02/26/2018,4,1175111.6405482942,1854589.688795628,41.756374355,-87.633816585,"(41.7563743554102, -87.6338165847716)"
5006 S WESTERN BLVD,CHI173,02/26/2018,36,1161333.9685091001,1871365.4147041482,41.802705576,-87.68384478899999,"(41.80270557565183, -87.68384478927206)"
62 E 95TH,CHI036,02/26/2018,9,1178615.953706068,1842047.62197816,41.721878498,-87.621354328,"(41.72187849819265, -87.62135432849777)"
4041 W CHICAGO AVE,CHI107,02/26/2018,23,1149134.784201944,1904992.924714128,41.89522799,-87.727715334,"(41.89522798956752, -87.72771533433409)"
6510 W BRYN MAWR AVE,CHI158,02/26/2018,30,1131748.243094333,1936860.226367278,41.982994526999995,-87.79083208799999,"(41.98299452666102, -87.79083208818419)"
4124 W FOSTER AVE,CHI003,02/26/2018,98,1147852.58857067,1934274.994738347,41.975605302,-87.731669795,"(41.97560530194193, -87.73166979484374)"
1226 N WESTERN AVE,CHI128,02/26/2018,11,1160143.276466612,1908203.273733476,41.903817103,-87.687194998,"(41.90381710275111, -87.6871949977686)"
2712 W IRVING PARK,CHI080,02/26/2018,8,1157447.913673397,1926504.6367308781,41.954092657,-87.696596502,"(41.954092657149786, -87.6965965016668)"
3535 E 95TH ST,CHI140,02/26/2018,3,1201486.255858151,1842590.389225195,41.722818321999995,-87.537567465,"(41.722818322421595, -87.53756746533104)"
324 E ILLINOIS ST,CHI126,02/26/2018,2,1178721.705071304,1903728.729069971,41.891134484,-87.61908944,"(41.89113448402406, -87.61908943995478)"
3843 W 111TH,CHI048,02/26/2018,14,1152527.402615974,1830667.777755826,41.691202396,-87.71721139899999,"(41.69120239624487, -87.71721139909997)"
140 N ASHLAND,CHI076,02/26/2018,6,1165683.996995108,1901211.265605895,41.884514197,-87.667042094,"(41.88451419700416, -87.66704209415728)"
5432 W LAWRENCE,CHI103,02/26/2018,1,1139099.594130043,1931391.06349442,41.96785573,-87.76392864399999,"(41.96785573012919, -87.76392864369929)"
1229 N WESTERN AVE,CHI127,02/26/2018,27,1160222.668005384,1908226.0930036998,41.903878079,-87.686902742,"(41.90387807933294, -87.68690274176198)"
5025 S WESTERN AVE,CHI100,02/26/2018,29,1161264.059630805,1871171.1834883608,41.80217403,-87.684106558,"(41.802174029934044, -87.68410655772436)"
215 E 63RD ST,CHI146,02/26/2018,109,1178876.815966598,1863250.9681009091,41.780056986999995,-87.61975472,"(41.78005698693417, -87.6197547203603)"
3809 W BELMONT AVE,CHI088,02/26/2018,6,1150401.300499035,1920967.933084685,41.939040256,-87.722645911,"(41.939040255975605, -87.72264591078833)"
4446 N BROADWAY,CHI097,02/26/2018,1,1168458.604334415,1929791.618716743,41.962880635,-87.65602445,"(41.96288063517309, -87.6560244499908)"
2326 W CERMAK RD,CHI111,02/26/2018,1,1161063.270222802,1889382.9992524032,41.852153505,-87.68433838899999,"(41.85215350507168, -87.68433838912533)"
141 N ASHLAND,CHI075,02/26/2018,3,1165763.976938881,1901213.0568607382,41.884517408,-87.66674834700001,"(41.88451740794813, -87.66674834697315)"
4433 N WESTERN,CHI055,02/26/2018,10,1159610.1416344391,1929516.781948006,41.962313789,-87.688564554,"(41.96231378868856, -87.68856455418805)"
5440 W GRAND,CHI043,02/26/2018,6,1139652.88459503,1913310.682326263,41.918231266,-87.76233705799999,"(41.91823126606235, -87.7623370579504)"
5454 W IRVING PARK,CHI050,02/26/2018,13,1139042.659337997,1926097.062423206,41.953329545,-87.764267264,"(41.95332954454448, -87.76426726425451)"
5739 N NORTHWEST HWY,CHI156,02/26/2018,12,1132581.461485981,1938004.2788999868,41.986119389,-87.78774082700001,"(41.98611938850496, -87.7877408267013)"
1440 W CERMAK RD,CHI143,02/26/2018,21,1166927.4522247391,1889554.984178115,41.85250181,-87.662810318,"(41.85250180995818, -87.66281031843234)"
4042 W NORTH AVE,CHI161,02/26/2018,7,1149005.647148129,1910365.1508732382,41.909972425,-87.72805041,"(41.90997242450237, -87.72805040969816)"
3521 N WESTERN,CHI026,02/26/2018,42,1159788.440574137,1923417.775809662,41.945574091,-87.688077853,"(41.945574090874274, -87.68807785258112)"
2721 W MONTROSE,CHI078,02/26/2018,2,1157328.845238545,1929075.390070401,41.961149383,-87.69696403399999,"(41.96114938287925, -87.69696403378589)"
7826 S PULASKI,CHI072,02/26/2018,10,1151040.67965499,1852282.476313374,41.750546198,-87.722092656,"(41.75054619772355, -87.72209265589272)"
4432 N LINCOLN,CHI056,02/26/2018,3,1160697.51043315,1929507.413867631,41.96226556,-87.684566996,"(41.96226556022151, -87.68456699562915)"
1117 S PULASKI RD,CHI162,02/26/2018,12,1149923.14048066,1894858.183193096,41.867401835,-87.725083688,"(41.867401834997956, -87.72508368792016)"
2900 W OGDEN,CHI021,02/26/2018,122,1157135.919535262,1892361.67589724,41.860407864,-87.69867209899999,"(41.86040786445197, -87.69867209877323)"
5471 W HIGGINS,CHI102,02/26/2018,20,1139071.529638349,1931897.937514376,41.969247149,-87.76401945100001,"(41.96924714863934, -87.76401945149458)"
1635 N ASHLAND AVE,CHI112,02/26/2018,23,1165462.4811301879,1911110.82578422,41.911684016,-87.66757343,"(41.91168401599584, -87.66757342998466)"
5330 S COTTAGE GROVE,CHI013,02/26/2018,39,1182452.725004514,1869711.7935478268,41.797703886,-87.606444779,"(41.79770388561477, -87.60644477865196)"
4042 W ROOSEVELT RD,CHI160,02/26/2018,16,1149437.132077646,1894437.686517121,41.866257378,-87.72687882,"(41.866257378192785, -87.72687882014701)"
3534 N WESTERN,CHI027,02/26/2018,58,1159704.098937127,1923558.7180794391,41.945962587,-87.688383964,"(41.9459625867886, -87.68838396394528)"
4436 N WESTERN,CHI094,02/26/2018,10,1159528.872859255,1929555.5505854841,41.96242185,-87.688862275,"(41.9624218495406, -87.68886227502836)"
11153 S VINCENNES,CHI022,02/26/2018,17,1167028.75294598,1830593.6014770658,41.690701951,-87.664122385,"(41.690701951255015, -87.66412238501842)"
3542 E 95TH ST,CHI141,02/27/2018,3,1201629.279994198,1842674.179369794,41.72304462,-87.53704075799999,"(41.72304461975978, -87.5370407583455)"
2335 W CERMAK RD,CHI110,02/27/2018,2,1160979.627413278,1889300.744309286,41.851929523,-87.68464766299999,"(41.85192952334165, -87.68464766256305)"
8318 S ASHLAND AVE,CHI169,02/27/2018,24,1167083.227060742,1849460.261274806,41.742473855,-87.66338548,"(41.74247385456547, -87.66338547998558)"
5471 W HIGGINS,CHI102,02/27/2018,21,1139071.529638349,1931897.937514376,41.969247149,-87.76401945100001,"(41.96924714863934, -87.76401945149458)"
4620 W BELMONT AVE,CHI086,02/27/2018,1,1144830.583591838,1920910.0131940308,41.938988391,-87.74312142299999,"(41.938988390759555, -87.74312142256439)"
3843 W 111TH,CHI048,02/27/2018,5,1152527.402615974,1830667.777755826,41.691202396,-87.71721139899999,"(41.69120239624487, -87.71721139909997)"
450 N COLUMBUS DR,CHI125,02/27/2018,9,1178351.216208364,1903356.801857411,41.890122353,-87.620461395,"(41.890122352505166, -87.62046139513696)"
2550 W 79TH,CHI067,02/27/2018,7,1160502.556225173,1852230.0317325331,41.750212593,-87.68742106299999,"(41.75021259302275, -87.6874210628529)"
346 W 76th ST,CHI136,02/27/2018,3,1175111.6405482942,1854589.688795628,41.756374355,-87.633816585,"(41.7563743554102, -87.6338165847716)"
5532 S KEDZIE AVE,CHI164,02/27/2018,4,1155954.012564287,1867613.622315444,41.792519997,-87.70367640299999,"(41.79251999694851, -87.70367640326066)"
2513 W 55TH,CHI070,02/27/2018,9,1160431.7488699341,1868077.6747288718,41.793702249,-87.687244272,"(41.79370224937009, -87.68724427195639)"
57 E 95TH,CHI035,02/27/2018,6,1178586.98154429,1841966.713809109,41.721657133,-87.621462899,"(41.72165713317433, -87.62146289865515)"
14 W CHICAGO AVE,CHI139,02/27/2018,1,1176065.949659871,1905763.820506745,41.896779126999995,-87.628781249,"(41.89677912747405, -87.6287812485988)"
5440 W GRAND,CHI043,02/27/2018,7,1139652.88459503,1913310.682326263,41.918231266,-87.76233705799999,"(41.91823126606235, -87.7623370579504)"
536 E MORGAN DR,CHI029,02/27/2018,53,1180984.6568148679,1868164.7664332332,41.793492646,-87.61187597,"(41.793492645896656, -87.6118759701359)"
2448 N CLYBOURN AVE,CHI090,02/27/2018,6,1164505.928359546,1916376.3768098159,41.926153343,-87.67093808700001,"(41.926153342916486, -87.67093808722792)"
5025 S WESTERN AVE,CHI100,02/27/2018,25,1161264.059630805,1871171.1834883608,41.80217403,-87.684106558,"(41.802174029934044, -87.68410655772436)"
2443 N ASHLAND,CHI091,02/27/2018,28,1165293.159880782,1916479.2217672332,41.926418831,-87.668042465,"(41.926418831263994, -87.66804246498943)"
1334 W GARFIELD BLVD,CHI119,02/27/2018,35,1168211.288538348,1868328.4656455282,41.794226466,-87.658709999,"(41.79422646635146, -87.65870999891658)"
10318 S INDIANAPOLIS,CHI120,02/27/2018,117,1203645.368140905,1837056.144574041,41.707576903,-87.529848261,"(41.70757690291348, -87.52984826112849)"
3137 W PETERSON,CHI024,02/27/2018,34,1154183.287274807,1939668.834930217,41.990281914,-87.70824462600001,"(41.9902819135942, -87.70824462568225)"
4909 N CICERO AVE,CHI149,02/27/2018,173,1143500.84164955,1932251.2467454018,41.970134736,-87.747723797,"(41.970134735816295, -87.7477237971432)"
3200 S ARCHER AVE,CHI144,02/27/2018,44,1165344.912712872,1883513.8170218568,41.835958018,-87.668790267,"(41.83595801848586, -87.66879026653764)"
1440 W CERMAK RD,CHI143,02/27/2018,16,1166927.4522247391,1889554.984178115,41.85250181,-87.662810318,"(41.85250180995818, -87.66281031843234)"
141 N ASHLAND,CHI075,02/27/2018,2,1165763.976938881,1901213.0568607382,41.884517408,-87.66674834700001,"(41.88451740794813, -87.66674834697315)"
4042 W ROOSEVELT RD,CHI160,02/27/2018,19,1149437.132077646,1894437.686517121,41.866257378,-87.72687882,"(41.866257378192785, -87.72687882014701)"
5509 W FULLERTON,CHI041,02/27/2018,23,1139212.2827424,1915372.613784541,41.923897472,-87.76390557799999,"(41.92389747217995, -87.76390557836874)"
1901 E 75TH ST,CHI138,02/27/2018,13,1190192.110150425,1855579.523137741,41.75874077,-87.57851859,"(41.758740770124234, -87.57851859043261)"
2432 N ASHLAND,CHI092,02/27/2018,7,1165215.788124507,1916401.7542988681,41.926207903000005,-87.668328977,"(41.92620790295943, -87.66832897708693)"
5006 S WESTERN BLVD,CHI173,02/27/2018,31,1161333.9685091001,1871365.4147041482,41.802705576,-87.68384478899999,"(41.80270557565183, -87.68384478927206)"
8345 S ASHLAND AVE,CHI168,02/27/2018,15,1167170.493634396,1849194.116924465,41.741741651,-87.663073329,"(41.741741651401504, -87.66307332925098)"
5446 W FULLERTON,CHI042,02/27/2018,19,1139459.798121728,1915458.446013142,41.924128491,-87.762993999,"(41.92412849125162, -87.76299399881007)"
4432 N LINCOLN,CHI056,02/27/2018,1,1160697.51043315,1929507.413867631,41.96226556,-87.684566996,"(41.96226556022151, -87.68456699562915)"
3646 W MADISON,CHI009,02/27/2018,36,1151844.874455435,1899804.7533277469,41.880938186,-87.71789844899999,"(41.88093818643283, -87.71789844857646)"
5816 W JACKSON,CHI058,02/27/2018,51,1137564.894528388,1898340.606160034,41.877189405,-87.77036950200001,"(41.87718940463045, -87.7703695017756)"
4436 N WESTERN,CHI094,02/27/2018,1,1159528.872859255,1929555.5505854841,41.96242185,-87.688862275,"(41.9624218495406, -87.68886227502836)"
2912 W ROOSEVELT,CHI020,02/27/2018,12,1157040.212662274,1894612.12813304,41.866585283,-87.698962375,"(41.86658528313424, -87.69896237494204)"
3655 W JACKSON,CHI008,02/27/2018,18,1151781.484945551,1898394.967222984,41.877070828,-87.718168316,"(41.87707082846323, -87.71816831641307)"
1507 W 83rd ST,CHI170,02/27/2018,5,1167695.170326354,1849654.2292216541,41.742993035,-87.66113776,"(41.742993034938884, -87.66113775973551)"
3217 W 55TH ST,CHI166,02/27/2018,1,1155768.430257114,1867930.168343089,41.793392372,-87.704348421,"(41.79339237207923, -87.70434842139014)"
6443 W BELMONT AVE,CHI105,02/27/2018,1,1132715.909031448,1920535.6191020731,41.938181259000004,-87.787655485,"(41.938181258548575, -87.78765548502582)"
5885 N RIDGE AVE,CHI093,02/27/2018,28,1165004.033252215,1939248.3529827842,41.988904472,-87.668455725,"(41.988904472466494, -87.66845572473223)"
6818 S KEDZIE,CHI018,02/27/2018,51,1156183.4762995,1859144.993983757,41.769276221,-87.703062595,"(41.769276221338444, -87.70306259506)"
2080 W PERSHING,CHI005,02/27/2018,1,1163048.143263149,1878842.85060012,41.823188825,-87.677348795,"(41.823188824691925, -87.67734879498818)"
62 E 95TH,CHI036,02/27/2018,4,1178615.953706068,1842047.62197816,41.721878498,-87.621354328,"(41.72187849819265, -87.62135432849777)"
506 S CENTRAL AVE,CHI130,02/27/2018,7,1139100.7382016021,1897035.93011447,41.873581418,-87.76476196799999,"(41.87358141810132, -87.7647619684764)"
1110 S PULASKI RD,CHI163,02/27/2018,23,1149841.165943524,1894930.809093216,41.867602722,-87.725382743,"(41.86760272243294, -87.7253827433152)"
1226 N WESTERN AVE,CHI128,02/27/2018,3,1160143.276466612,1908203.273733476,41.903817103,-87.687194998,"(41.90381710275111, -87.6871949977686)"
5529 S WESTERN,CHI068,02/27/2018,5,,,,,
5120 N PULASKI,CHI004,02/27/2018,19,1148759.385878875,1933817.5998373618,41.974332655,-87.72834702200001,"(41.97433265461055, -87.72834702238127)"
3116 N NARRAGANSETT AVE,CHI132,02/27/2018,2,1133159.075197319,1920109.5593728991,41.93700435,-87.786036722,"(41.93700435024341, -87.78603672187927)"
7833 S PULASKI,CHI071,02/27/2018,14,1151122.446651206,1852224.1440529209,41.75038453,-87.721794539,"(41.75038452958284, -87.72179453872008)"
6909 S KEDZIE,CHI014,02/27/2018,50,1156276.17519456,1858582.894182457,41.767731869,-87.70273790700001,"(41.76773186901884, -87.70273790708362)"
5454 W IRVING PARK,CHI050,02/27/2018,9,1139042.659337997,1926097.062423206,41.953329545,-87.764267264,"(41.95332954454448, -87.76426726425451)"
4042 W NORTH AVE,CHI161,02/27/2018,6,1149005.647148129,1910365.1508732382,41.909972425,-87.72805041,"(41.90997242450237, -87.72805040969816)"
515 S CENTRAL AVE,CHI057,02/27/2018,4,1139183.475728338,1896944.5811828282,41.87332924,-87.764460415,"(41.873329240103914, -87.76446041521123)"
445 W 127TH,CHI045,02/27/2018,120,1175468.445851752,1820629.228565181,41.663174059,-87.63352045200001,"(41.663174059325534, -87.63352045241697)"
1142 W IRVING PARK,CHI095,02/27/2018,72,1167789.528738809,1926747.106564999,41.954540866,-87.65857252100001,"(41.95454086624301, -87.65857252142276)"
19 W CHICAGO AVE,CHI133,02/27/2018,10,1176000.008484107,1905682.004927479,41.896556106999995,-87.629025904,"(41.89655610710888, -87.62902590382873)"
3450 W 71ST,CHI015,02/27/2018,6,1154377.983623192,1857351.590718894,41.764390956999996,-87.70972842,"(41.76439095689881, -87.70972841983624)"
3111 N ASHLAND AVE,CHI171,02/27/2018,6,1165145.222818929,1920790.84196687,41.938253306,-87.66846320200001,"(41.938253305553516, -87.66846320182256)"
3851 W 79th,CHI073,02/27/2018,5,1151859.077753413,1851860.018482846,41.749370908,-87.719104675,"(41.74937090787529, -87.71910467544157)"
115 N OGDEN,CHI077,02/27/2018,5,1166484.9018621591,1900735.4865245381,41.883191521,-87.6641147,"(41.883191521391076, -87.66411469955516)"
2603 W 79TH,CHI066,02/27/2018,2,1160350.070879175,1852097.8260689732,41.74985294,-87.687983475,"(41.749852940263196, -87.68798347502599)"
2928 S HALSTED,CHI117,02/27/2018,7,1171407.142701029,1885330.6176069418,41.840812626,-87.64649261,"(41.84081262592384, -87.64649261049526)"
6510 W BRYN MAWR AVE,CHI158,02/27/2018,19,1131748.243094333,1936860.226367278,41.982994526999995,-87.79083208799999,"(41.98299452666102, -87.79083208818419)"
6247 W FULLERTON,CHI039,02/27/2018,2,1134158.281732405,1915236.510832825,41.923614583,-87.78247949,"(41.9236145831186, -87.78247948955652)"
2917 W ROOSEVELT,CHI019,02/27/2018,27,1156991.618473341,1894531.138408719,41.866364024,-87.69914296600001,"(41.866364024167034, -87.69914296647906)"
449 N COLUMBUS DR,CHI124,02/27/2018,3,1178428.35425324,1903326.613409231,41.890037755,-87.620179034,"(41.89003775504898, -87.62017903427099)"
2712 W IRVING PARK,CHI080,02/27/2018,18,1157447.913673397,1926504.6367308781,41.954092657,-87.696596502,"(41.954092657149786, -87.6965965016668)"
3843 S WESTERN,CHI007,02/27/2018,54,1161037.665305821,1878964.2913163768,41.823563957,-87.684721126,"(41.82356395744577, -87.68472112618639)"
5432 W LAWRENCE,CHI103,02/27/2018,2,1139099.594130043,1931391.06349442,41.96785573,-87.76392864399999,"(41.96785573012919, -87.76392864369929)"
5030 S PULASKI,CHI031,02/27/2018,17,1150513.081876743,1870811.076557055,41.801401913,-87.72354459799999,"(41.80140191299459, -87.72354459803559)"
2108 S WESTERN AVE,CHI135,02/27/2018,1,1160653.576373094,1889897.05800109,41.853572622,-87.685827855,"(41.853572622430164, -87.6858278546488)"
4831 W LAWRENCE AVE,CHI147,02/27/2018,37,1143137.859882784,1931435.232520927,41.967902328,-87.74907897700001,"(41.96790232791309, -87.74907897663441)"
7738 S WESTERN,CHI065,02/27/2018,14,,,,,
341 W 76th ST,CHI137,02/27/2018,3,1175175.124032429,1854511.45995174,41.756158269000004,-87.633586263,"(41.756158269344546, -87.6335862634599)"
1635 N ASHLAND AVE,CHI112,02/27/2018,11,1165462.4811301879,1911110.82578422,41.911684016,-87.66757343,"(41.91168401599584, -87.66757342998466)"
6514 W BELMONT AVE,CHI106,02/27/2018,2,1132317.345183897,1920604.4749947519,41.938377159,-87.789118713,"(41.93837715933998, -87.78911871294291)"
3230 N MILWAUKEE AVE,CHI087,02/27/2018,11,1149738.885755279,1921203.286051271,41.939699007,-87.725074339,"(41.93969900713657, -87.72507433916897)"
2417 W 103RD ST,CHI165,02/27/2018,4,1161996.101263966,1836227.314129496,41.706267661,-87.682391472,"(41.70626766073214, -87.68239147238012)"
1315 W GARFIELD BLVD,CHI121,02/27/2018,27,1168444.530011629,1868118.434806125,41.793645091,-87.65786076399999,"(41.793645091444645, -87.6578607639445)"
4429 N BROADWAY,CHI096,02/27/2018,2,1168597.252171523,1929689.1863076459,41.962596549000004,-87.655517675,"(41.962596548691735, -87.65551767517252)"
1111 N HUMBOLDT,CHI010,02/27/2018,41,,,,,
4123 N CENTRAL AVE,CHI049,02/27/2018,10,1138310.38101538,1926965.395448081,41.955725645,-87.76693812299999,"(41.95572564479322, -87.76693812345056)"
7518 S VINCENNES,CHI063,02/27/2018,18,1175649.435042562,1855003.1916943858,41.75749704,-87.631833328,"(41.75749703994495, -87.63183332832696)"
3535 E 95TH ST,CHI140,02/27/2018,2,1201486.255858151,1842590.389225195,41.722818321999995,-87.537567465,"(41.722818322421595, -87.53756746533104)"
140 N ASHLAND,CHI076,02/27/2018,12,1165683.996995108,1901211.265605895,41.884514197,-87.667042094,"(41.88451419700416, -87.66704209415728)"
2115 S WESTERN AVE,CHI134,02/27/2018,2,1160735.325566845,1889829.27935108,41.853384939,-87.68552968200001,"(41.85338493884992, -87.68552968203949)"
5520 S WESTERN,CHI069,02/27/2018,10,,,,,
1229 N WESTERN AVE,CHI127,02/27/2018,36,1160222.668005384,1908226.0930036998,41.903878079,-87.686902742,"(41.90387807933294, -87.68690274176198)"
3047 W JACKSON BLVD,CHI122,02/27/2018,25,1155924.803933969,1898487.691160325,41.877242774,-87.702952689,"(41.877242773826396, -87.7029526885659)"
7826 S PULASKI,CHI072,02/27/2018,8,1151040.67965499,1852282.476313374,41.750546198,-87.722092656,"(41.75054619772355, -87.72209265589272)"
6523 N WESTERN,CHI051,02/27/2018,36,1159169.4522778809,1943341.864659956,42.000259510999996,-87.689802909,"(42.00025951144952, -87.68980290863908)"
3034 W FOSTER,CHI025,02/27/2018,4,1155157.924620047,1934429.0282307658,41.97588404,-87.704801123,"(41.9758840401294, -87.70480112338926)"
3130 N ASHLAND AVE,CHI172,02/27/2018,23,1165057.801533191,1920991.385440163,41.938805468000005,-87.668778779,"(41.93880546751142, -87.66877877931208)"
4040 W 55TH,CHI062,02/27/2018,4,1150194.312710597,1867856.573495409,41.793300511999995,-87.72479036200001,"(41.79330051203649, -87.72479036232271)"
5433 S PULASKI,CHI059,02/27/2018,13,1150670.689050764,1868131.267079955,41.794045046,-87.72303636299999,"(41.79404504596532, -87.72303636259336)"
5420 S RACINE AVE,CHI118,02/27/2018,5,1169208.608674489,1868739.4702261281,41.795332775,-87.65504097899999,"(41.795332774848234, -87.65504097855228)"
